,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Greycells Edu,33.63,  new,0.00%,-%,-,10.00,56.05,29.06,1,-,-,1.09,41.65,27.35,36.75,Greycells Edu,NA,NA,NA
Grindwell Norto,79.89, 56.92 new,80.00%,0.95%,10.57,5.00,47.20,"4,663.53",1,29.72,39.85,5.27,454.90,305.55,421.20,Grindwell Norto,454.85,288.00,421.50
Grover Leasing ,-16.42,  new,0.00%,-%,* -,0.00,3.00,0.00,1,-,-,-,NA,NA,NA,Grover Leasing ,NA,NA,NA
Growth Techno,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Growth Techno,NA,NA,NA
Gufic Bio,5.87, 69.24 new,5.00%,0.07%,1.47,1.00,29.58,570.84,1,37.85,50.20,12.57,79.55,33.30,73.80,Gufic Bio,81.50,32.10,73.75
Guj Ambuja Cots,18.28,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Guj Ambuja Cots,NA,NA,NA
Guj Binil,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj Binil,NA,NA,NA
Guj Borosil,9.08, 63.18 new,0.00%,-%,2.09,5.00,36.51,643.54,1,22.46,45.14,10.39,120.00,66.55,94.35,Guj Borosil,NA,NA,NA
Guj Concast,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj Concast,NA,NA,NA
Guj Cotex,8.72,  new,0.00%,-%,-,10.00,24.04,2.39,1,-,-,0.38,5.25,3.35,3.35,Guj Cotex,NA,NA,NA
Guj Foils,39.76, 100 new,0.00%,-%,-,10.00,11.50,11.48,1,-,-,0.35,31.85,9.65,14.00,Guj Foils,NA,NA,NA
Guj Lease Fin,-11.02, 100 new,0.00%,-%,-,10.00,39.26,4.75,1,-,-,-,5.35,1.29,1.75,Guj Lease Fin,NA,NA,NA
Guj Meditech,10.57,  new,0.00%,-%,0.02,10.00,420.97,1.71,1,207.50,207.50,0.39,4.63,1.15,4.15,Guj Meditech,NA,NA,NA
Guj Oils,20.79,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Guj Oils,NA,NA,NA
Guj Poly AVX,-8.97,  new,0.00%,-%,0.03,10.00,25.89,0.00,1,-,-,-,NA,NA,NA,Guj Poly AVX,NA,NA,NA
Guj ProjectandP,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj ProjectandP,NA,NA,NA
Guj Tele Cables,-9.24,  new,0.00%,-%,-,10.00,9.77,0.00,1,-,-,-,NA,NA,NA,Guj Tele Cables,NA,NA,NA
Guj Toolroom,6.57,  new,0.00%,-%,-,10.00,27.65,0.97,1,-,-,2.12,29.95,7.65,13.95,Guj Toolroom,NA,NA,NA
Gujarat Apollo,191.89, 86.50 new,25.00%,1.37%,7.45,10.00,31.07,246.23,1,19.79,24.47,0.95,186.80,118.55,182.30,Gujarat Apollo,188.70,114.20,183.60
Gujarat Bitumen,10.30, 100 new,0.00%,-%,0.32,10.00,27.66,11.63,1,70.45,72.66,2.26,37.20,21.20,23.25,Gujarat Bitumen,NA,NA,NA
Gujarat Bonanza,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Bonanza,NA,NA,NA
Gujarat Himalay,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Himalay,NA,NA,NA
Gujarat Wedge,2.58,  new,0.00%,-%,-,10.00,49.82,0.00,100,-,-,-,NA,NA,NA,Gujarat Wedge,NA,NA,NA
Gulshan Chem,0.78,  new,0.00%,-%,-,2.00,37.92,0.00,1,-,-,-,NA,NA,NA,Gulshan Chem,NA,NA,NA
Gupta Synthetic,-245.31,  new,0.00%,-%,-,10.00,24.04,3.15,1,-,-,-,5.79,2.36,4.28,Gupta Synthetic,NA,NA,NA
Gwalior Strips ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gwalior Strips ,NA,NA,NA
HAMCO Mining,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,HAMCO Mining,NA,NA,NA
HCL Info,38.78, 34.61 new,0.00%,-%,-,2.00,33.50,"1,090.08",1,-,-,1.26,64.85,38.65,48.90,HCL Info,64.90,38.75,48.80
HEB Luggage Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,HEB Luggage Ind,NA,NA,NA
HIL,671.87, 54.09 new,100.00%,0.87%,80.35,10.00,28.11,857.15,1,8.49,14.29,1.71,1158.00,571.00,1148.60,HIL,1156.95,576.20,1148.15
HMG Industries,-61.93,  new,0.00%,-%,* -,10.00,16.19,0.00,100,-,-,-,NA,NA,NA,HMG Industries,NA,NA,NA
HOV Services,70.14, 100 new,0.00%,-%,0.93,10.00,17.90,322.78,1,240.70,276.94,3.67,350.50,91.10,257.55,HOV Services,349.95,92.90,256.20
HP Cotton,39.39,  new,10.00%,2.51%,-,10.00,10.59,15.18,1,-,-,1.01,51.20,32.10,39.85,HP Cotton,NA,NA,NA
HPL Electric & ,61.52, 62.05 new,1.00%,0.08%,3.49,10.00,52.97,827.55,1,18.84,36.88,2.09,202.00,74.20,128.70,HPL Electric & ,202.00,74.00,128.50
HS India,16.02, 100 new,0.00%,-%,0.64,10.00,59.12,15.85,1,4.36,15.25,0.61,11.49,4.21,9.76,HS India,NA,NA,NA
HSBC Invest,95.93,  new,0.00%,-%,-,10.00,25.35,0.00,1,-,-,-,NA,NA,NA,HSBC Invest,NA,NA,NA
HUL,29.99, 65.80 new,1700.00%,1.47%,21.25,1.00,57.34,"249,800.85",1,50.00,54.31,38.48,1195.10,782.95,1154.10,HUL,1195.05,781.95,1153.85
Hani Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hani Ind,NA,NA,NA
Hans Polyuretha,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hans Polyuretha,NA,NA,NA
Haria Apparels,8.06,  new,0.00%,-%,0.08,10.00,40.41,5.83,1,10.30,47.63,0.47,4.85,2.28,3.81,Haria Apparels,NA,NA,NA
Hariparvat Merr,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hariparvat Merr,NA,NA,NA
Harita Finance,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Harita Finance,NA,NA,NA
Harleystreet Ph,35.99,  new,10.00%,-%,6.48,10.00,10.31,0.00,1,-,-,-,NA,NA,NA,Harleystreet Ph,NA,NA,NA
Harshita Organi,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Harshita Organi,NA,NA,NA
Hartron Network,0.20,  new,0.00%,-%,* -,10.00,21.85,0.00,100,-,-,-,NA,NA,NA,Hartron Network,NA,NA,NA
Harvic Manage,0.97,  new,0.00%,-%,0.01,1.00,27.21,0.00,1,-,-,-,NA,NA,NA,Harvic Manage,NA,NA,NA
Haryana Brewery,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Haryana Brewery,NA,NA,NA
Haryana Leather,57.05, 100 new,0.00%,-%,4.19,10.00,46.30,24.91,1,8.02,12.11,0.89,55.00,28.40,50.75,Haryana Leather,NA,NA,NA
Haryana Petro,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Haryana Petro,NA,NA,NA
Haryana Steel,-162.47,  new,0.00%,-%,* -,10.00,10.12,0.00,1,-,-,-,NA,NA,NA,Haryana Steel,NA,NA,NA
Haryana Suraj,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Haryana Suraj,NA,NA,NA
Healthcare Glob,64.41, 70.33 new,0.00%,-%,2.74,10.00,54.86,"2,362.68",1,35.75,100.60,4.28,289.00,181.50,275.65,Healthcare Glob,289.00,198.00,275.15
Healthy Invest,164.77,  new,0.00%,-%,5.36,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Healthy Invest,NA,NA,NA
Helios and Mat,117.97,  new,50.00%,-%,16.89,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Helios and Mat,NA,NA,NA
Heritage Foods,130.80, 77.24 new,40.00%,0.33%,28.80,10.00,55.93,"2,851.39",1,28.70,42.68,9.40,1342.35,600.00,1229.10,Heritage Foods,1342.20,599.95,1231.25
Heruk Agro Food,9.89,  new,0.00%,-%,-,10.00,7.90,0.00,100,-,-,-,NA,NA,NA,Heruk Agro Food,NA,NA,NA
Hester Bio,140.75, 57.01 new,53.00%,0.50%,29.41,10.00,29.58,907.98,1,29.74,36.29,7.58,1233.00,666.00,1067.35,Hester Bio,1244.00,670.00,1066.40
Hexaware Tech,44.55, 18.43 new,274.91%,2.11%,12.96,2.00,18.51,"7,722.50",1,18.09,20.08,5.84,267.50,178.10,260.30,Hexaware Tech,267.75,177.95,260.25
Hi-Lon Hosiery,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hi-Lon Hosiery,NA,NA,NA
Him Containers ,-70.01,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Him Containers ,NA,NA,NA
Himachal Tubes ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Himachal Tubes ,NA,NA,NA
Himadri Special,23.19, 57.29 new,5.00%,0.06%,1.94,1.00,46.30,"3,548.10",1,31.64,43.71,3.66,88.40,32.00,84.80,Himadri Special,88.30,31.80,84.85
Himatsingka Sei,102.95, 35.01 new,50.00%,0.70%,17.96,5.00,16.13,"3,524.27",1,16.02,19.93,3.48,400.00,240.90,357.95,Himatsingka Sei,400.00,231.50,358.45
Himgiri Fincap,9.75,  new,0.00%,-%,-,10.00,21.21,0.00,100,-,-,-,NA,NA,NA,Himgiri Fincap,NA,NA,NA
Hind Adhesives,47.42,  new,0.00%,-%,9.11,10.00,8.56,38.88,1,4.81,8.34,1.60,92.00,29.65,76.00,Hind Adhesives,NA,NA,NA
Hind BioScience,4.22,  new,0.00%,-%,-,10.00,60.14,1.05,1,-,-,0.24,2.51,1.02,1.02,Hind BioScience,NA,NA,NA
Hind Ferro Ind,8.45,  new,NA,-%,-,10.00,11.07,0.00,100,-,-,-,NA,NA,NA,Hind Ferro Ind,NA,NA,NA
Hind Hardy,49.04, 100 new,0.00%,-%,-,10.00,24.23,19.11,1,-,-,2.60,132.00,83.10,127.50,Hind Hardy,NA,NA,NA
Hind Nat Glass,11.95, 18.71 new,0.00%,-%,-,2.00,36.51,820.11,1,17.17,-,7.86,154.80,79.05,93.90,Hind Nat Glass,155.75,75.90,91.50
Hind Powerplus,38.11,  new,0.00%,-%,* -,10.00,24.10,0.00,1,-,-,-,NA,NA,NA,Hind Powerplus,NA,NA,NA
Hind Rectifiers,36.54, 57.51 new,0.00%,-%,-,2.00,25.89,136.50,1,-,-,2.48,113.60,75.10,90.65,Hind Rectifiers,114.30,75.00,90.25
Hind Syntex,5.23,  new,0.00%,-%,-,10.00,10.82,10.91,1,35.75,-,1.64,18.45,8.30,8.58,Hind Syntex,19.50,8.45,11.70
Hind Tin Works,124.17, 77.08 new,10.00%,1.13%,6.85,10.00,23.10,91.67,1,6.08,12.87,0.71,93.45,57.10,88.15,Hind Tin Works,NA,NA,NA
Hind Trans,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hind Trans,NA,NA,NA
Hind Wire Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hind Wire Ind,NA,NA,NA
Hindalco,172.25, 28.44 new,100.00%,0.46%,6.94,1.00,27.79,"48,412.41",1,16.21,31.10,1.25,223.40,132.10,215.80,Hindalco,223.75,132.10,215.85
Hindoostan Mill,422.15, 100 new,0.00%,-%,-,10.00,23.65,63.59,1,-,-,0.91,479.00,322.05,382.05,Hindoostan Mill,NA,NA,NA
Hinduja Found,-15.41,  new,0.00%,-%,-,10.00,29.10,0.00,1,-,-,-,NA,NA,NA,Hinduja Found,NA,NA,NA
Hindustan Housi,2207.92,  new,0.00%,-%,593.10,25.00,24.31,0.00,1,-,-,-,NA,NA,NA,Hindustan Housi,NA,NA,NA
Hindustan Nitro,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hindustan Nitro,NA,NA,NA
Hindustan Tools,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hindustan Tools,NA,NA,NA
Hipolin,24.30,  new,0.00%,-%,-,10.00,44.76,8.96,1,-,-,1.18,60.95,28.60,28.60,Hipolin,NA,NA,NA
Hitesh Textile,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hitesh Textile,NA,NA,NA
Hotel Rugby,6.26,  new,0.00%,-%,-,10.00,59.12,0.00,1,-,-,-,NA,NA,NA,Hotel Rugby,NA,NA,NA
Husys Consultin,13.41,  new,0.00%,-%,* -,10.00,30.96,0.00,0,-,-,2.96,NA,NA,NA,Husys Consultin,72.90,35.10,39.75
ICICI PP,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ICICI PP,NA,NA,NA
ICSA,-238.32, 95.33 new,0.00%,-%,-,2.00,18.51,13.24,1,7.64,-,-,3.85,2.30,2.75,ICSA,3.85,2.35,2.80
IDBI Bank,82.86, 16.96 new,0.00%,-%,-,10.00,20.79,"12,248.01",1,-,-,0.71,86.50,53.00,59.15,IDBI Bank,86.40,53.15,59.25
IDBI Bank (NT),NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IDBI Bank (NT),NA,NA,NA
IDBI Div 95,107.41,  new,0.00%,-%,-,10.00,15.84,0.00,1,-,-,-,NA,NA,NA,IDBI Div 95,NA,NA,NA
IDFC Bank,43.16, 31.24 new,7.50%,1.24%,3.51,10.00,28.75,"20,596.06",1,15.53,17.25,1.40,83.45,48.20,60.55,IDFC Bank,83.40,48.05,60.55
IDI,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IDI,NA,NA,NA
IFB Agro,302.13, 69.68 new,0.00%,-%,32.60,10.00,94.25,389.20,1,7.65,12.75,1.38,496.90,327.20,415.50,IFB Agro,495.50,327.20,413.85
IGGI Highway,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IGGI Highway,NA,NA,NA
IIFL Holdings,47.16, 49.99 new,225.00%,0.75%,5.52,2.00,39.26,"19,049.44",1,108.15,108.54,12.70,629.00,229.00,599.15,IIFL Holdings,630.00,237.80,600.00
IIISLNCDII,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IIISLNCDII,NA,NA,NA
IITL Projects,-12.31,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,IITL Projects,NA,NA,NA
IKF Finance,20.77,  new,0.00%,-%,4.72,10.00,21.91,0.00,1,-,-,-,NA,NA,NA,IKF Finance,NA,NA,NA
IMAP Tech,,,,,,,,,,,,,,,,IMAP Tech,,,
IND Renewable,1.06, 100 new,0.00%,-%,0.02,1.00,27.66,4.03,1,33.25,66.50,1.25,2.88,1.17,1.33,IND Renewable,NA,NA,NA
IO System,-2.89,  new,0.00%,-%,-,10.00,30.96,0.00,1,-,-,-,NA,NA,NA,IO System,NA,NA,NA
IP Rings,50.34, 72.20 new,0.00%,-%,-,10.00,37.00,263.66,1,41.26,-,2.86,283.95,97.72,144.00,IP Rings,NA,NA,NA
ISGEC Heavy Eng,1530.68, 82.00 new,250.00%,0.40%,260.60,10.00,31.07,"4,597.18",1,18.00,23.99,4.08,6600.00,4300.00,6252.15,ISGEC Heavy Eng,NA,NA,NA
ISL Consulting,9.88, 100 new,0.00%,-%,0.19,10.00,39.26,39.54,1,173.42,173.42,3.34,32.95,Low/High,32.95,ISL Consulting,NA,NA,NA
ISPL Industries,-60.46,  new,0.00%,-%,-,10.00,21.28,0.00,50,-,-,-,NA,NA,NA,ISPL Industries,NA,NA,NA
ITC Bhadrachala,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,ITC Bhadrachala,NA,NA,NA
ITL Finlease,10.41,  new,0.00%,-%,0.52,10.00,23.07,0.00,100,-,-,-,NA,NA,NA,ITL Finlease,NA,NA,NA
ITL Industries,84.78, 89.90 new,5.00%,0.36%,11.34,10.00,27.65,45.17,1,9.79,12.08,1.62,150.70,41.05,137.00,ITL Industries,NA,NA,NA
IVRCL Assets,75.26,  new,0.00%,-%,-,10.00,23.99,0.00,1,-,-,-,NA,NA,NA,IVRCL Assets,NA,NA,NA
IchalkaranjiSoy,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IchalkaranjiSoy,NA,NA,NA
Impex FerroTech,-12.22, 94.16 new,0.00%,-%,-,10.00,9.11,10.46,1,-,-,-,2.50,1.06,1.19,Impex FerroTech,2.50,1.00,1.20
Incap,25.65, 100 new,10.00%,2.24%,4.58,10.00,25.89,22.95,1,8.66,9.76,1.74,47.15,24.05,44.70,Incap,NA,NA,NA
Incon Engineers,-2.31,  new,0.00%,-%,-,10.00,27.65,3.38,1,-,-,-,12.91,7.30,7.81,Incon Engineers,NA,NA,NA
Ind Jyoti (A),NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ind Jyoti (A),NA,NA,NA
Ind Motor Parts,311.14, 69.63 new,90.00%,1.12%,32.23,10.00,51.24,666.90,1,24.14,24.87,2.58,995.00,720.00,801.60,Ind Motor Parts,997.70,700.00,803.55
Ind Sagar,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ind Sagar,NA,NA,NA
Ind-Swift,-115.09, 74.11 new,0.00%,-%,-,2.00,29.58,48.10,1,-,-,-,11.84,3.89,8.88,Ind-Swift,12.25,3.85,8.80
Ind-Swift Labs,43.33, 77.23 new,0.00%,-%,-,10.00,29.58,163.52,1,3.37,-,0.84,47.90,32.50,36.55,Ind-Swift Labs,47.90,33.15,36.60
Indage Restaura,-6.18,  new,0.00%,-%,* -,3.00,52.36,0.00,50,-,-,-,NA,NA,NA,Indage Restaura,NA,NA,NA
Indal,1.84,  new,0.00%,-%,22.91,0.00,160.00,0.00,1,-,-,-,NA,NA,NA,Indal,NA,NA,NA
India Castor,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,India Castor,NA,NA,NA
India Forge,47.02,  new,0.00%,-%,* -,10.00,38.83,0.00,100,-,-,-,NA,NA,NA,India Forge,NA,NA,NA
India Glycols,152.39, 31.04 new,0.00%,-%,14.38,10.00,11.75,601.27,1,5.36,13.50,1.27,211.00,93.10,194.20,India Glycols,208.90,93.00,194.35
India Gypsum,78.17,  new,0.00%,-%,3.88,10.00,32.95,0.00,1,-,-,-,NA,NA,NA,India Gypsum,NA,NA,NA
India Home Loan,15.69, 100 new,0.00%,-%,0.69,10.00,28.85,159.96,1,151.35,162.32,7.14,160.00,38.00,112.00,India Home Loan,NA,NA,NA
India Nippon,236.28, 71.83 new,90.00%,1.38%,28.64,10.00,79.31,738.08,1,20.19,22.78,2.76,728.40,386.15,652.55,India Nippon,729.00,385.05,653.35
India Poly,-3.27,  new,0.00%,-%,0.07,10.00,13.83,0.00,1,-,-,-,NA,NA,NA,India Poly,NA,NA,NA
India Rubber,-16.18,  new,0.00%,-%,* -,10.00,14.19,0.00,100,-,-,-,NA,NA,NA,India Rubber,NA,NA,NA
India Steel,4.54, 78.11 new,0.00%,-%,0.20,1.00,24.44,139.33,1,5.30,17.50,0.77,5.70,2.20,3.50,India Steel,NA,NA,NA
Indiabulls Vent,5.24, 50.51 new,149.75%,1.54%,0.96,2.00,39.26,"8,606.72",1,196.52,202.66,37.13,202.70,18.50,194.55,Indiabulls Vent,202.95,18.50,194.85
Indian Card,217.79, 58.02 new,120.00%,6.22%,27.85,10.00,31.07,87.84,1,4.69,6.93,0.89,268.90,182.00,193.00,Indian Card,270.50,181.20,190.15
Indian Toners,82.21, 72.31 new,0.00%,-%,8.55,10.00,19.71,242.17,1,29.55,35.15,3.66,335.00,117.05,300.50,Indian Toners,NA,NA,NA
Indo Amines,19.05, 93.47 new,10.00%,1.12%,4.27,10.00,29.64,293.78,1,11.46,20.90,4.69,108.50,43.55,89.25,Indo Amines,NA,NA,NA
Indo Bosch Gems,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indo Bosch Gems,NA,NA,NA
Indo Dutch Prot,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indo Dutch Prot,NA,NA,NA
Indo Flogates,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indo Flogates,NA,NA,NA
Indo Gulf,133.65,  new,28.00%,-%,15.11,10.00,20.65,0.00,1,-,-,-,NA,NA,NA,Indo Gulf,NA,NA,NA
Indo-National,496.96, 55.28 new,250.00%,2.80%,50.59,10.00,22.44,334.50,1,13.82,17.63,1.79,1193.80,820.00,892.00,Indo-National,1198.00,820.00,896.10
Indokem,5.27, 78.49 new,0.00%,-%,5.58,10.00,19.71,91.25,1,6.38,6.68,7.07,42.00,6.25,37.25,Indokem,NA,NA,NA
Indraprastha,25.02, 68.23 new,18.00%,3.29%,2.54,10.00,54.86,501.91,1,9.33,21.56,2.19,64.30,45.00,54.75,Indraprastha,64.50,48.90,54.60
Inducto Stl,99.60, 100 new,0.00%,-%,1.29,10.00,40.49,10.08,1,15.21,19.46,0.25,35.65,18.50,25.10,Inducto Stl,NA,NA,NA
Industrial Inv,236.77, 61.90 new,0.00%,-%,-,10.00,39.26,163.36,1,-,-,0.31,99.30,55.10,72.45,Industrial Inv,99.00,57.00,70.50
Infar (India),NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Infar (India),NA,NA,NA
Info Edge,163.61, 83.55 new,30.00%,0.30%,18.50,10.00,30.96,"12,023.43",1,48.41,53.62,6.06,1126.70,752.00,991.90,Info Edge,1128.00,796.20,993.25
Information Tec,10.54,  new,0.00%,-%,-,5.00,20.61,0.00,1,-,-,-,NA,NA,NA,Information Tec,NA,NA,NA
Infra Industrie,-1.49,  new,0.00%,-%,2.95,10.00,33.56,3.80,1,1.81,2.15,-,9.78,5.15,6.35,Infra Industrie,NA,NA,NA
Infraquest Intl,8.83,  new,0.00%,-%,-,10.00,17.70,0.00,1,-,-,-,NA,NA,NA,Infraquest Intl,NA,NA,NA
Innovassynth,9.35, 100 new,0.00%,-%,-,10.00,39.26,24.81,1,-,-,1.09,17.20,5.65,10.22,Innovassynth,NA,NA,NA
Inox Wind,97.99, 51.69 new,0.00%,-%,11.55,10.00,31.07,"3,090.21",1,10.63,12.06,1.42,231.00,113.75,139.25,Inox Wind,230.95,125.80,139.10
Insta Finance,0.44,  new,0.00%,-%,-,5.00,39.26,0.00,1,-,-,-,NA,NA,NA,Insta Finance,NA,NA,NA
Integ Fin Serv,61.40,  new,8.00%,2.03%,6.91,10.00,39.26,23.61,1,5.69,5.69,0.64,48.30,20.60,39.35,Integ Fin Serv,NA,NA,NA
Integ Proteins,7.32,  new,0.00%,-%,0.07,10.00,15.59,0.00,1,-,-,-,NA,NA,NA,Integ Proteins,NA,NA,NA
Integra Engg,4.33, 100 new,0.00%,-%,0.55,1.00,31.07,164.72,1,60.89,87.45,11.11,59.50,26.10,48.10,Integra Engg,NA,NA,NA
Integra Switchg,4.95,  new,0.00%,-%,-,10.00,43.23,0.00,100,-,-,-,NA,NA,NA,Integra Switchg,NA,NA,NA
Integrated Tech,1.40,  new,0.00%,-%,-,10.00,25.89,0.73,1,-,-,1.09,1.64,1.18,1.53,Integrated Tech,NA,NA,NA
Inter State Oil,28.44, 100 new,0.00%,-%,1.52,10.00,29.04,7.54,1,3.88,9.93,0.53,17.74,5.80,15.10,Inter State Oil,NA,NA,NA
Interads Export,-2.58,  new,0.00%,-%,0.32,10.00,51.24,0.89,100,17.81,17.81,-,8.25,5.23,5.70,Interads Export,NA,NA,NA
Intercontinenta,9.96,  new,0.00%,-%,0.03,10.00,39.26,3.25,1,333.33,333.33,1.00,10.00,10.00,10.00,Intercontinenta,NA,NA,NA
Intercorp Ind,-16.83,  new,0.00%,-%,-,10.00,29.42,0.00,100,-,-,-,NA,NA,NA,Intercorp Ind,NA,NA,NA
Intercraft,-24.36,  new,0.00%,-%,* -,10.00,33.18,0.00,100,-,-,-,NA,NA,NA,Intercraft,NA,NA,NA
Interface Fin,1.32,  new,0.00%,-%,* -,1.00,39.26,0.00,1,-,-,-,NA,NA,NA,Interface Fin,NA,NA,NA
Interlink Petro,-30.40, 100 new,0.00%,-%,-,10.00,12.97,23.43,1,-,-,-,11.80,5.81,9.40,Interlink Petro,NA,NA,NA
Intl Bestfoods,38.68,  new,NA,-%,* -,0.00,-,0.00,1,-,-,-,NA,NA,NA,Intl Bestfoods,NA,NA,NA
Intl Catalysts,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Intl Catalysts,NA,NA,NA
Intl Hsg Fin,9.43,  new,0.00%,-%,-,10.00,28.85,0.00,100,-,-,-,NA,NA,NA,Intl Hsg Fin,NA,NA,NA
Intl Sec,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Intl Sec,NA,NA,NA
Invesco India,NA, 100 new,NA,-%,-,NA,-,29.94,NA,-,-,-,2973.99,2487.10,2620.00,Invesco India,2989.40,2407.00,2630.00
Invesco India N,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Invesco India N,1050.00,790.00,1045.00
Invicta Meditek,0.81,  new,0.00%,-%,-,10.00,35.94,0.00,1,-,-,-,NA,NA,NA,Invicta Meditek,NA,NA,NA
Ircon Intl,1473.81,  new,500.00%,-%,306.46,10.00,12.52,0.00,100,-,-,-,NA,NA,NA,Ircon Intl,NA,NA,NA
Ishan Dyes,17.71, 100 new,5.00%,0.96%,4.97,10.00,19.71,58.58,1,8.19,10.46,2.94,100.40,36.30,52.00,Ishan Dyes,NA,NA,NA
Ishita Drugs,19.44, 100 new,0.00%,-%,0.61,10.00,29.58,5.20,1,16.11,28.52,0.90,23.90,11.95,17.40,Ishita Drugs,NA,NA,NA
Italian Jewel,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Italian Jewel,NA,NA,NA
J J Finance,18.32, 100 new,0.00%,-%,1.16,10.00,39.26,5.98,1,17.68,18.28,1.16,21.21,11.97,21.21,J J Finance,NA,NA,NA
J K Leatherite ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,J K Leatherite ,NA,NA,NA
JBF Industries,201.42, 49.56 new,10.00%,0.45%,4.35,10.00,19.09,"1,829.43",1,13.78,51.37,1.11,326.00,185.90,223.45,JBF Industries,326.00,185.00,225.40
JK Bank,102.00, 45.37 new,0.00%,-%,-,1.00,28.75,"4,747.22",1,-,-,0.84,95.65,54.60,85.25,JK Bank,95.75,57.15,84.90
JK Paper,65.71, 50.95 new,5.00%,0.51%,9.97,10.00,11.71,"1,595.48",1,5.65,9.79,1.49,123.00,52.60,97.65,JK Paper,122.50,52.55,97.80
JK Pharmachem,-5.97,  new,0.00%,-%,-,10.00,31.17,0.00,1,-,-,-,NA,NA,NA,JK Pharmachem,NA,NA,NA
