,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Gurshant Rot,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gurshant Rot,NA,NA,NA
Gwalior Polypip,,-0.40,  new,0.00%,-%,* -,10.00,52.50,0.00,50,-,-,-,NA,NA,NA,Gwalior Polypip,NA,NA,NA
Gyscoal Alloys,,4.50, 28.84 new,0.00%,-%,-,1.00,12.55,131.05,1,138.00,-,1.84,124.00,5.45,8.28,Gyscoal Alloys,14.95,5.35,8.05
HB Estate Dev,,10.60, 100 new,0.00%,-%,-,10.00,35.29,29.71,1,-,-,1.71,24.57,7.33,18.10,HB Estate Dev,NA,NA,NA
HBL Power,,25.07, 65.51 new,25.00%,0.52%,1.37,1.00,52.97,"1,206.81",1,14.54,34.82,1.90,52.80,29.70,47.70,HBL Power,52.90,29.40,47.75
HDFC W,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,HDFC W,NA,NA,NA
HDIL,,257.77, 20.67 new,0.00%,-%,3.48,10.00,35.29,"3,771.49",1,23.81,24.97,0.34,103.75,52.25,86.90,HDIL,103.70,52.30,86.75
HEG,,218.36, 21.07 new,0.00%,-%,-,10.00,31.62,"1,982.97",1,77.42,-,2.27,508.00,144.10,496.25,HEG,507.90,144.45,495.75
HMT,,2.95, 100 new,0.00%,-%,-,10.00,43.68,"4,461.16",1,-,-,12.56,49.00,32.25,37.05,HMT,48.95,32.45,37.50
HOEC,,24.13, 53.08 new,0.00%,-%,2.79,10.00,12.97,981.96,1,21.38,26.97,3.12,89.30,36.40,75.25,HOEC,89.40,36.30,75.65
HRB Floricultur,,1.17,  new,0.00%,-%,-,10.00,7.73,0.00,1,-,-,-,NA,NA,NA,HRB Floricultur,NA,NA,NA
HSIL,,200.57, 48.99 new,200.00%,1.06%,15.94,2.00,34.04,"2,732.08",1,12.09,23.71,1.88,424.75,271.65,377.90,HSIL,424.00,273.20,378.45
HT Media,,67.93, 41.43 new,20.00%,0.43%,3.38,2.00,18.03,"2,161.95",1,12.24,27.28,1.36,96.30,69.50,92.20,HT Media,96.50,68.90,92.15
HUDCO,,NA, 40.82 new,NA,-%,-,NA,-,"16,385.55",NA,-,-,-,102.35,60.00,81.85,HUDCO,102.30,60.00,81.80
Haji Manzoor,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Haji Manzoor,NA,NA,NA
Haldyn Glass,,24.25, 84.23 new,50.00%,1.21%,2.30,1.00,36.51,222.26,1,9.44,17.98,1.71,50.80,24.00,41.35,Haldyn Glass,NA,NA,NA
Hamilton Shoes,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hamilton Shoes,NA,NA,NA
Hari Govind,,7.99,  new,0.00%,-%,-,10.00,27.41,0.00,100,-,-,-,NA,NA,NA,Hari Govind,NA,NA,NA
Harita Seating,,121.08, 63.30 new,60.00%,0.75%,32.44,10.00,37.22,623.07,1,20.56,24.72,6.62,876.00,492.05,802.00,Harita Seating,881.00,495.10,803.15
Harmony Capital,,4.24,  new,0.00%,-%,0.64,10.00,39.26,1.79,1,9.33,9.33,1.41,5.97,5.69,5.97,Harmony Capital,NA,NA,NA
Harrisons Malay,,52.12, 48.44 new,0.00%,-%,-,10.00,32.72,157.33,1,-,-,1.64,102.45,55.25,85.25,Harrisons Malay,102.45,55.20,85.30
Hasti Finance,,23.12,  new,0.00%,-%,0.02,10.00,39.26,8.50,1,56.00,392.00,0.34,14.35,7.80,7.84,Hasti Finance,NA,NA,NA
Hathway Bhawani,,-4.80, 100 new,0.00%,-%,-,10.00,43.78,3.52,1,-,-,-,6.39,3.16,4.35,Hathway Bhawani,NA,NA,NA
Hawa Engineers,,32.07, 100 new,0.00%,-%,3.76,10.00,43.84,24.36,1,11.56,18.09,2.12,95.80,28.10,68.00,Hawa Engineers,NA,NA,NA
Hawkins Cooker,,201.74, 76.33 new,700.00%,2.35%,86.24,10.00,47.76,"1,575.29",1,32.10,34.54,14.77,3610.00,2500.00,2979.10,Hawkins Cooker,NA,NA,NA
Heera Ispat,,7.01,  new,0.00%,-%,0.09,10.00,23.39,0.00,1,-,-,-,NA,NA,NA,Heera Ispat,NA,NA,NA
Hella India,,44.27,  new,0.00%,-%,21.72,10.00,52.82,0.00,1,-,-,-,NA,NA,NA,Hella India,NA,NA,NA
Hemi Petro Prod,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hemi Petro Prod,NA,NA,NA
Hemkunta Ind,,-19.21,  new,0.00%,-%,-,10.00,26.39,0.00,1,-,-,-,NA,NA,NA,Hemkunta Ind,NA,NA,NA
Henkel SPIC,,21.03,  new,0.00%,-%,0.28,10.00,7.98,0.00,1,-,-,-,NA,NA,NA,Henkel SPIC,NA,NA,NA
Herman Milkfood,,12.28,  new,0.00%,-%,-,10.00,52.36,0.00,100,-,-,-,NA,NA,NA,Herman Milkfood,NA,NA,NA
Hexa Tradex,,40.99, 100 new,0.00%,-%,-,2.00,51.24,186.17,1,-,-,0.82,36.45,14.20,33.70,Hexa Tradex,37.20,14.00,33.25
Hexone Pharma,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hexone Pharma,NA,NA,NA
Hi-Tech Pipes,,72.91, 86.96 new,5.00%,0.27%,* -,10.00,20.73,0.00,1500,-,-,2.54,NA,NA,NA,Hi-Tech Pipes,185.00,92.05,185.00
Hico Products,,18.51,  new,NA,-%,* -,0.00,-,0.00,50,-,-,-,NA,NA,NA,Hico Products,NA,NA,NA
Hifunda.com,,,,,,,,,,,,,,,,,Hifunda.com,,,
Himalaya Granit,,25.99, 100 new,0.00%,-%,-,10.00,25.81,10.58,1,-,-,1.76,45.65,17.00,45.65,Himalaya Granit,NA,NA,NA
Himatsingka Aut,,33.04,  new,0.00%,-%,1.53,10.00,32.00,0.00,1,-,-,-,NA,NA,NA,Himatsingka Aut,NA,NA,NA
Himatsingka Mot,,32.65,  new,0.00%,-%,1.33,10.00,28.81,0.00,50,-,-,-,NA,NA,NA,Himatsingka Mot,NA,NA,NA
Himtubes Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Himtubes Ltd,NA,NA,NA
Hind Agrigen,,4.66,  new,0.00%,-%,1.24,10.00,8.24,0.00,100,-,-,-,NA,NA,NA,Hind Agrigen,NA,NA,NA
Hind Aluminium,,123.05, 66.62 new,16.00%,1.65%,10.05,10.00,11.50,60.99,1,6.53,9.63,0.79,152.00,80.35,96.80,Hind Aluminium,NA,NA,NA
Hind Appliances,,13.66,  new,0.00%,-%,0.33,10.00,47.19,0.00,100,-,-,-,NA,NA,NA,Hind Appliances,NA,NA,NA
Hind Commerce,,25.82,  new,0.00%,-%,1.54,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Hind Commerce,NA,NA,NA
Hind Compressor,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hind Compressor,NA,NA,NA
Hind Copper,,15.86, 42.58 new,0.00%,-%,0.66,5.00,55.15,"6,458.02",1,31.73,105.76,4.40,74.70,50.10,69.80,Hind Copper,75.00,49.95,69.65
Hind Cotex Expo,,-2.62,  new,0.00%,-%,0.21,10.00,18.37,0.00,100,-,-,-,NA,NA,NA,Hind Cotex Expo,NA,NA,NA
Hind Dorr-Olive,,-200.38, 100 new,0.00%,-%,-,2.00,27.65,19.23,1,-,-,-,18.05,2.40,2.67,Hind Dorr-Olive,18.10,2.60,2.70
Hind Everest,,-33.67,  new,0.00%,-%,-,10.00,27.65,0.00,1,-,-,-,NA,NA,NA,Hind Everest,NA,NA,NA
Hind Flurocarbo,,-34.99, 100 new,0.00%,-%,-,10.00,25.38,30.16,1,-,-,-,20.00,7.04,15.39,Hind Flurocarbo,NA,NA,NA
Hind Ind Chem,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hind Ind Chem,NA,NA,NA
Hind Org Chem,,-145.86, 85.79 new,0.00%,-%,-,10.00,36.03,163.80,1,-,-,-,35.40,15.25,24.35,Hind Org Chem,35.20,15.10,24.35
Hind Oxygen,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hind Oxygen,NA,NA,NA
Hind Sanforiser,,26.13,  new,0.00%,-%,2.29,10.00,39.26,6.85,1,8.25,8.76,0.77,20.05,13.62,20.05,Hind Sanforiser,NA,NA,NA
Hind Securities,,10.86,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Hind Securities,NA,NA,NA
Hindustan Brewe,,-5.49,  new,0.00%,-%,* -,10.00,35.59,0.00,50,-,-,-,NA,NA,NA,Hindustan Brewe,NA,NA,NA
Hindustan Foods,,7.09, 66.95 new,0.00%,-%,1.03,10.00,55.93,248.09,1,91.80,185.39,26.93,228.80,93.50,190.95,Hindustan Foods,NA,NA,NA
Hindusthan Urba,,1874.72, 90.38 new,0.00%,-%,-,10.00,20.86,130.58,1,9.93,-,0.48,1470.00,552.10,905.00,Hindusthan Urba,NA,NA,NA
Hira Auto,,32.66,  new,0.00%,-%,2.61,10.00,32.00,0.00,100,-,-,-,NA,NA,NA,Hira Auto,NA,NA,NA
Hira Ferro,,67.72,  new,6.00%,-%,15.88,10.00,20.83,0.00,1,-,-,-,NA,NA,NA,Hira Ferro,NA,NA,NA
Hiran Orgochem,,-6.23,  new,0.00%,-%,0.09,10.00,29.58,0.00,1,-,-,-,NA,NA,NA,Hiran Orgochem,NA,NA,NA
Hisar Metal,,24.27, 29.02 new,10.00%,2.03%,4.89,10.00,18.00,26.65,1,5.97,10.09,2.03,56.40,18.00,49.35,Hisar Metal,55.90,26.10,46.70
Hitkari China,,15.77,  new,0.00%,-%,-,10.00,29.90,0.00,1,-,-,-,NA,NA,NA,Hitkari China,NA,NA,NA
Hitkari Ind,,20.06,  new,0.00%,-%,-,10.00,13.12,0.00,1,-,-,-,NA,NA,NA,Hitkari Ind,NA,NA,NA
Hoganas India,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Hoganas India,NA,NA,NA
Honeywell Autom,,1334.93, 57.97 new,100.00%,0.08%,191.65,10.00,20.44,"10,975.87",1,59.07,64.77,9.30,12788.45,8021.00,12414.00,Honeywell Autom,12698.00,7577.90,12518.20
Hubtown,,239.12, 71.78 new,0.00%,-%,0.90,10.00,35.29,880.83,1,93.88,134.56,0.51,173.00,81.55,121.10,Hubtown,172.75,78.20,121.10
Hyderabad Lamps,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hyderabad Lamps,NA,NA,NA
Hydroflex Equip,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hydroflex Equip,NA,NA,NA
Hytaisun Magnet,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Hytaisun Magnet,NA,NA,NA
IB Infotech Ent,,6.52,  new,0.00%,-%,-,10.00,18.51,2.32,1,-,-,2.78,31.10,16.20,18.15,IB Infotech Ent,NA,NA,NA
ICDS,,7.79,  new,0.00%,-%,1.32,10.00,27.32,0.00,1,-,-,-,NA,NA,NA,ICDS,NA,NA,NA
ICES Software,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ICES Software,NA,NA,NA
ICICI Bank,,151.11, 51.64 new,125.00%,0.83%,15.00,2.00,28.75,"193,635.40",1,18.66,20.13,2.00,327.50,215.41,301.95,ICICI Bank,314.45,215.14,302.60
ICICI Power,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ICICI Power,NA,NA,NA
ICICI Pru Mid,,NA, 90.39 new,NA,-%,-,NA,-,0.00,NA,-,-,-,57.40,Low/High,57.40,ICICI Pru Mid,57.36,Low/High,57.30
ICICI SPICE ETF,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,340.00,200.50,338.13,ICICI SPICE ETF,363.00,230.00,337.59
IDBI Growth 95,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IDBI Growth 95,NA,NA,NA
IDFC MF,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IDFC MF,NA,NA,NA
IEC Education,,22.41, 100 new,0.00%,-%,-,10.00,56.05,5.72,1,375.00,-,0.17,5.00,2.39,3.75,IEC Education,NA,NA,NA
IFB Venture Cap,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,IFB Venture Cap,NA,NA,NA
IFL Promoters,,1.61,  new,0.00%,-%,0.01,1.00,39.26,4.79,1,66.00,66.00,0.41,0.80,0.22,0.66,IFL Promoters,NA,NA,NA
IFSL,,1.81,  new,0.00%,-%,* -,1.00,26.59,0.00,1,-,-,-,NA,NA,NA,IFSL,NA,NA,NA
ILandFS,,4.71, 63.46 new,60.00%,6.96%,0.76,2.00,39.26,541.71,1,22.12,22.70,3.66,18.75,13.00,17.25,ILandFS,18.80,13.10,17.30
IM+ Capitals,,148.41, 98.08 new,0.00%,-%,4.18,10.00,39.26,22.31,1,14.28,15.24,0.43,67.90,30.55,63.70,IM+ Capitals,NA,NA,NA
IMC Finance,,38.71,  new,0.00%,-%,-,10.00,27.21,0.00,50,-,-,-,NA,NA,NA,IMC Finance,NA,NA,NA
IMP Powers,,119.36, 70.87 new,5.00%,0.55%,3.89,10.00,17.85,78.12,1,8.31,23.25,0.76,118.80,75.40,90.45,IMP Powers,120.00,74.70,90.70
INDIA VIX,,,,,,,,,,,,,,,,,INDIA VIX,,,
IQ Infotech,,3.12,  new,0.00%,-%,-,10.00,18.04,0.00,1,-,-,-,NA,NA,NA,IQ Infotech,NA,NA,NA
IRB Infra,,72.20, 52.10 new,40.00%,1.78%,8.45,10.00,35.29,"7,905.87",1,26.62,26.62,3.12,272.40,177.50,224.95,IRB Infra,272.65,177.45,225.30
ISF,,1.31,  new,0.00%,-%,* -,1.00,39.26,4.94,1,-,-,0.40,0.53,0.39,0.52,ISF,NA,NA,NA
ITW Signode,,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,ITW Signode,NA,NA,NA
IVRCL,,4.20, 46.86 new,0.00%,-%,-,2.00,35.29,530.02,1,-,-,1.61,7.42,3.77,6.77,IVRCL,7.40,3.70,6.80
Idea Cellular,,65.79, 14.71 new,0.00%,-%,-,10.00,29.08,"33,359.31",1,5.77,-,1.41,123.75,66.00,92.50,Idea Cellular,123.50,65.80,92.45
Ideal Carpets,,24.70,  new,0.00%,-%,0.43,10.00,8.76,0.00,1,-,-,-,NA,NA,NA,Ideal Carpets,NA,NA,NA
Inani Marbles,,25.98, 75.11 new,5.00%,0.40%,1.02,2.00,25.81,40.33,1,24.31,24.31,0.95,61.00,23.00,24.80,Inani Marbles,NA,NA,NA
Inani Sec,,32.97,  new,0.00%,-%,2.28,10.00,39.26,4.28,1,3.56,4.12,0.28,10.69,5.88,9.39,Inani Sec,NA,NA,NA
Incap Financial,,9.90,  new,0.00%,-%,0.11,10.00,26.39,0.00,1,-,-,-,NA,NA,NA,Incap Financial,NA,NA,NA
Ind Prakash (B),,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ind Prakash (B),NA,NA,NA
Indag Rubber,,65.37, 85.32 new,120.00%,1.21%,8.40,2.00,28.32,521.59,1,20.85,23.65,3.04,235.00,158.00,198.70,Indag Rubber,NA,NA,NA
Indbank Merchan,,12.25, 71.96 new,0.00%,-%,1.19,10.00,39.26,78.99,1,13.59,14.96,1.45,22.10,8.80,17.80,Indbank Merchan,22.45,8.75,18.05
Indeen Alloys,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indeen Alloys,NA,NA,NA
India Inter Mkt,,1.66,  new,0.00%,-%,-,10.00,24.31,0.00,1,-,-,-,NA,NA,NA,India Inter Mkt,NA,NA,NA
India Polyfibre,,4.44,  new,0.00%,-%,1.19,10.00,7.95,0.00,1,-,-,-,NA,NA,NA,India Polyfibre,NA,NA,NA
India Sucrose,,50.23, 100 new,0.00%,-%,16.63,10.00,7.85,54.12,1,1.64,2.10,0.70,40.00,16.40,35.00,India Sucrose,NA,NA,NA
India Sugars,,-83.30,  new,0.00%,-%,-,10.00,25.44,0.00,100,-,-,-,NA,NA,NA,India Sugars,NA,NA,NA
IndiaNivesh,,7.42, 43.40 new,2.00%,0.04%,0.16,1.00,39.26,189.32,1,313.44,313.44,6.76,50.15,36.00,50.15,IndiaNivesh,NA,NA,NA
Indiaco Venture,,12.85,  new,0.00%,-%,-,2.00,39.26,0.00,1,-,-,-,NA,NA,NA,Indiaco Venture,NA,NA,NA
Indian Express,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indian Express,NA,NA,NA
Indian Hotels,,40.71, 75.40 new,0.00%,-%,1.43,1.00,59.12,"12,286.78",1,41.96,86.85,3.05,145.65,88.80,124.20,Indian Hotels,145.50,88.70,124.65
Indian Hume,,82.48, 32.97 new,50.00%,0.18%,20.39,2.00,28.11,"2,692.21",1,24.63,27.25,6.74,907.90,253.18,555.70,Indian Hume,570.45,254.75,555.75
Indian LinkChai,,866.53, 100 new,0.00%,-%,29.04,100.00,17.90,3.14,5,14.19,21.59,0.72,800.00,379.05,627.00,Indian LinkChai,NA,NA,NA
Indian Maize,,-21.45,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Indian Maize,NA,NA,NA
Indian Marine,,-196.30,  new,0.00%,-%,-,10.00,25.01,0.00,100,-,-,-,NA,NA,NA,Indian Marine,NA,NA,NA
Indian Metals,,386.70, 54.22 new,200.00%,3.75%,140.90,10.00,10.65,"1,438.15",1,2.94,3.78,1.38,823.00,147.00,533.10,Indian Metals,827.00,145.00,533.80
Indian Resort,,124.08,  new,100.00%,-%,25.84,0.00,408.00,0.00,1,-,-,-,NA,NA,NA,Indian Resort,NA,NA,NA
Indiana Diary,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indiana Diary,NA,NA,NA
Inditrade Capit,,33.50, 100 new,0.00%,-%,1.17,10.00,39.26,209.65,1,58.29,71.24,2.49,83.35,32.00,83.35,Inditrade Capit,NA,NA,NA
Indo Am Cement,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indo Am Cement,NA,NA,NA
Indo Biotech,,-1.40,  new,0.00%,-%,-,10.00,53.02,0.00,1,-,-,-,NA,NA,NA,Indo Biotech,NA,NA,NA
Indo Cotspin,,14.33,  new,0.00%,-%,0.12,10.00,10.59,0.00,1,-,-,-,NA,NA,NA,Indo Cotspin,NA,NA,NA
Indo Count,,39.48, 32.99 new,20.00%,0.27%,11.55,2.00,10.59,"2,932.37",1,11.31,12.86,3.76,209.90,134.60,148.55,Indo Count,210.05,135.00,148.35
Indo Credit Cap,,9.40,  new,0.00%,-%,-,10.00,39.26,0.73,1,-,-,0.11,1.01,Low/High,1.01,Indo Credit Cap,NA,NA,NA
Indo Germa Prod,,7.19,  new,0.00%,-%,1.24,10.00,23.66,0.00,100,-,-,-,NA,NA,NA,Indo Germa Prod,NA,NA,NA
Indo Japan Phot,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indo Japan Phot,NA,NA,NA
Indo Korea Expo,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indo Korea Expo,NA,NA,NA
Indo Pacific,,3.26,  new,0.00%,-%,-,1.00,18.51,16.28,1,-,-,0.50,1.64,0.86,1.62,Indo Pacific,NA,NA,NA
Indo Power Cab,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Indo Power Cab,NA,NA,NA
Indo Swiss Expo,,14.60,  new,0.00%,-%,* -,10.00,4.95,0.00,100,-,-,-,NA,NA,NA,Indo Swiss Expo,NA,NA,NA
Indo Vanillon,,-22.86,  new,0.00%,-%,* -,10.00,16.17,0.00,100,-,-,-,NA,NA,NA,Indo Vanillon,NA,NA,NA
Indo-Global Ent,,11.61, 100 new,0.00%,-%,0.22,10.00,54.86,12.80,1,91.36,91.36,1.73,21.90,13.12,20.10,Indo-Global Ent,NA,NA,NA
Indosolar,,-8.10, 100 new,0.00%,-%,-,10.00,-,263.41,1,-,-,-,12.05,5.72,7.18,Indosolar,12.10,5.70,7.10
Indrayani Biot,,8.29, 100 new,0.00%,-%,-,10.00,7.43,2.58,1,-,-,0.86,9.43,4.15,7.09,Indrayani Biot,NA,NA,NA
Indsil Hydro,,63.29, 100 new,6.00%,0.71%,1.49,10.00,9.11,135.04,1,20.00,57.05,1.34,98.40,30.15,85.00,Indsil Hydro,NA,NA,NA
Indus Fila,,-272.05,  new,0.00%,-%,-,10.00,24.04,0.00,1,-,-,-,NA,NA,NA,Indus Fila,NA,NA,NA
Indus Foods,,-1.83,  new,0.00%,-%,* -,10.00,1.19,0.00,100,-,-,-,NA,NA,NA,Indus Foods,NA,NA,NA
Industrial Cabl,,-5.33,  new,0.00%,-%,-,10.00,7.95,0.00,50,-,-,-,NA,NA,NA,Industrial Cabl,NA,NA,NA
Industrial Prog,,16.66,  new,0.00%,-%,0.48,10.00,43.96,0.00,100,-,-,-,NA,NA,NA,Industrial Prog,NA,NA,NA
Info Drive Soft,,1.98, 98.08 new,0.00%,-%,* -,1.00,18.51,12.45,1,19.00,-,0.10,0.29,0.13,0.19,Info Drive Soft,NA,NA,NA
Ingersoll Rand,,336.28, 53.40 new,60.00%,0.70%,24.48,10.00,37.15,"2,699.22",1,30.30,34.93,2.54,940.00,645.00,855.05,Ingersoll Rand,938.30,645.00,861.95
Innovative Prin,,52.94,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Innovative Prin,NA,NA,NA
Inox Leasing,,NA,  new,200.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Inox Leasing,NA,NA,NA
Insecticides,,225.97, 45.44 new,0.00%,-%,28.13,10.00,46.58,"1,486.01",1,20.06,25.56,3.18,727.85,437.45,719.00,Insecticides,726.50,426.80,719.20
Intech Intl,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Intech Intl,NA,NA,NA
Integrated Ent,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Integrated Ent,NA,NA,NA
Integrated Ther,,-0.68,  new,0.00%,-%,-,10.00,63.54,0.00,100,-,-,-,NA,NA,NA,Integrated Ther,NA,NA,NA
Intellect Desig,,56.12, 52.66 new,0.00%,-%,-,5.00,18.51,"1,373.01",1,-,-,1.96,233.00,107.75,109.90,Intellect Desig,218.11,101.00,110.15
Intellivate Cap,,1.72, 100 new,0.00%,-%,* -,1.00,39.26,27.50,1,-,-,5.49,55.00,8.77,9.45,Intellivate Cap,NA,NA,NA
Intense Tech,,32.87, 77.41 new,0.00%,-%,5.93,2.00,18.51,246.13,1,15.16,18.76,3.38,248.70,53.10,111.25,Intense Tech,182.00,96.15,110.50
Inter Globe Fin,,138.33, 100 new,2.50%,0.87%,2.20,10.00,39.26,19.51,1,10.36,13.00,0.21,41.25,11.49,28.60,Inter Globe Fin,NA,NA,NA
Interactive Fin,,9.81,  new,0.00%,-%,0.14,10.00,39.26,9.34,1,206.67,221.43,3.16,55.70,14.95,31.00,Interactive Fin,NA,NA,NA
Interworld,,2.60,  new,0.00%,-%,-,1.00,18.51,7.18,1,-,-,0.06,0.16,0.13,0.15,Interworld,NA,NA,NA
Intl Ceramics,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Intl Ceramics,NA,NA,NA
Intl Hometex,,11.82,  new,0.00%,-%,-,10.00,27.33,0.00,1,-,-,-,NA,NA,NA,Intl Hometex,NA,NA,NA
Intl Paper APPM,,121.26, 53.24 new,0.00%,-%,10.00,10.00,11.71,"1,276.62",1,11.82,32.10,2.65,376.00,272.00,321.00,Intl Paper APPM,376.00,270.00,320.25
Intl Travel,,202.65, 56.01 new,42.50%,1.73%,15.72,10.00,32.17,196.58,1,7.98,15.64,1.21,264.20,179.50,245.90,Intl Travel,NA,NA,NA
Intron,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Intron,NA,NA,NA
Invest and Prec,,110.84, 98.88 new,0.00%,-%,8.48,10.00,29.10,152.55,1,16.54,35.98,2.75,345.00,147.00,305.10,Invest and Prec,NA,NA,NA
Ion Exchange,,201.86, 100 new,30.00%,0.52%,31.71,10.00,27.65,849.79,1,14.84,18.27,2.87,638.00,254.00,579.40,Ion Exchange,NA,NA,NA
Ishwar Medical,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ishwar Medical,NA,NA,NA
J G Finance Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,J G Finance Ltd,NA,NA,NA
J Kumar Infra,,183.55, 54.07 new,40.00%,0.69%,13.92,5.00,35.29,"2,200.35",1,13.67,20.89,1.58,321.00,105.80,290.80,J Kumar Infra,321.50,105.40,290.25
J M D Alloys,,5.83,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,J M D Alloys,NA,NA,NA
J R Foods Ltd,,5.73,  new,0.00%,-%,1.22,10.00,15.59,0.00,100,-,-,-,NA,NA,NA,J R Foods Ltd,NA,NA,NA
J. K. Cement,,274.62, 53.75 new,40.00%,0.39%,37.12,10.00,42.58,"7,124.54",1,16.35,27.45,3.71,1194.95,630.00,1018.85,J. K. Cement,1196.00,628.10,1018.00
JCL,,10.20,  new,0.00%,-%,* -,10.00,17.82,0.00,100,-,-,-,NA,NA,NA,JCL,NA,NA,NA
JCT,,0.69, 66.68 new,0.00%,-%,-,2.50,13.25,269.75,1,22.55,-,6.54,8.32,3.79,4.51,JCT,NA,NA,NA
JCT Electronics,,-7.02,  new,0.00%,-%,-,1.00,25.89,0.00,1,-,-,-,NA,NA,NA,JCT Electronics,NA,NA,NA
JJ Exporters,,-33.44, 100 new,0.00%,-%,-,10.00,16.13,3.79,1,-,-,-,7.40,3.28,4.09,JJ Exporters,NA,NA,NA
JK Agri Genetic,,212.80, 100 new,30.00%,0.27%,33.54,10.00,60.14,396.43,1,26.30,32.80,5.17,1166.00,393.15,1100.00,JK Agri Genetic,NA,NA,NA
JK Investo,,45.57,  new,0.00%,-%,4.81,10.00,19.75,0.00,1,-,-,-,NA,NA,NA,JK Investo,NA,NA,NA
JK Lakshmi Cem,,120.29, 67.91 new,5.00%,0.05%,6.98,5.00,42.58,"5,406.94",1,21.25,65.83,3.82,535.00,326.75,459.50,JK Lakshmi Cem,536.95,329.30,457.65
JMC Projects,,205.39, 80.35 new,15.00%,0.42%,17.68,10.00,35.29,"1,194.48",1,10.23,20.12,1.73,359.20,183.00,355.70,JMC Projects,359.00,182.00,353.90
JMP Castings,,9.03,  new,0.00%,-%,0.12,10.00,19.89,0.00,100,-,-,-,NA,NA,NA,JMP Castings,NA,NA,NA
JRI Industries,,7.77, 100 new,0.00%,-%,0.01,2.00,35.29,4.25,1,160.00,160.00,0.21,4.99,0.98,1.60,JRI Industries,NA,NA,NA
JVG Departmenta,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,JVG Departmenta,NA,NA,NA
