,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Arshiya,,-6.48, 89.02 new,0.00%,-%,-,2.00,29.04,"1,077.64",1,-,-,-,83.40,23.30,69.00,Arshiya,82.90,23.40,69.15
Arti Agro Indus,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arti Agro Indus,NA,NA,NA
Aruna Hotels,,-26.02,  new,0.00%,-%,-,10.00,41.40,0.00,1,-,-,-,NA,NA,NA,Aruna Hotels,NA,NA,NA
Arunoday Mills,,-14.81,  new,0.00%,-%,-,10.00,14.26,0.00,1,-,-,-,NA,NA,NA,Arunoday Mills,NA,NA,NA
Arvind,,125.40, 33.27 new,24.00%,0.66%,10.48,10.00,29.41,"9,450.09",1,20.86,34.88,2.92,426.50,286.95,365.55,Arvind,426.85,286.55,365.90
Arvind Intl,,9.91,  new,0.00%,-%,-,10.00,33.56,0.00,1,-,-,-,NA,NA,NA,Arvind Intl,NA,NA,NA
Arvind Products,,2.42,  new,0.00%,-%,0.25,10.00,16.54,0.00,1,-,-,-,NA,NA,NA,Arvind Products,NA,NA,NA
Aryaman Cap,,12.12,  new,0.00%,-%,* -,10.00,39.26,27.07,5000,-,-,1.86,24.50,15.00,22.60,Aryaman Cap,NA,NA,NA
Ashika Credit,,33.55, 0.00 new,0.00%,-%,-,10.00,39.26,23.89,1,-,-,1.02,35.05,25.00,34.15,Ashika Credit,NA,NA,NA
AshirwadCapital,,1.57, 99.22 new,0.00%,-%,0.16,1.00,39.26,11.68,1,18.25,18.25,1.86,5.00,2.20,2.92,AshirwadCapital,NA,NA,NA
Ashish Polyplas,,14.32,  new,0.00%,-%,0.47,10.00,63.54,5.61,1,16.18,35.11,1.15,19.90,7.58,16.50,Ashish Polyplas,NA,NA,NA
Ashok Fashions,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ashok Fashions,NA,NA,NA
Ashutosh Paper ,,7.08,  new,0.00%,-%,0.22,10.00,39.26,2.00,1,13.95,13.95,0.43,5.59,3.07,3.07,Ashutosh Paper ,NA,NA,NA
Asia Pacific In,,29.79,  new,NA,-%,* -,0.00,-,0.00,50,-,-,-,NA,NA,NA,Asia Pacific In,NA,NA,NA
Asia Pack,,68.83, 100 new,0.00%,-%,1.68,10.00,23.10,4.73,1,8.31,10.68,0.26,29.20,11.82,17.95,Asia Pack,NA,NA,NA
Asia Threads,,,,,,,,,,,,,,,,,Asia Threads,,,
Asian Bearings,,-32.32,  new,0.00%,-%,-,10.00,31.19,0.00,1,-,-,-,NA,NA,NA,Asian Bearings,NA,NA,NA
Asian Conso,,0.00,  new,0.00%,-%,* -,0.00,192.12,0.00,1,-,-,-,NA,NA,NA,Asian Conso,NA,NA,NA
Asian Electroni,,1.60,  new,0.00%,-%,-,5.00,25.89,0.00,1,-,-,-,NA,NA,NA,Asian Electroni,NA,NA,NA
Asian Granito,,119.41, 44.66 new,0.00%,-%,9.29,10.00,34.04,"1,257.66",1,25.18,44.99,3.50,470.00,175.10,418.00,Asian Granito,500.00,176.00,416.10
Asian Hotel (E),,770.77, 37.68 new,20.00%,0.71%,11.24,10.00,59.12,322.78,1,16.70,24.91,0.36,299.95,172.05,280.00,Asian Hotel (E),312.00,171.90,280.10
Asian Oilfield,,8.29, 79.37 new,0.00%,-%,0.19,10.00,12.97,461.52,1,80.09,931.58,21.35,249.60,52.60,177.00,Asian Oilfield,NA,NA,NA
Asiatic Food,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asiatic Food,NA,NA,NA
Asiatic Infra,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asiatic Infra,NA,NA,NA
Asiatic Propert,,-9002.00,  new,0.00%,-%,* -,10.00,7.21,0.00,50,-,-,-,NA,NA,NA,Asiatic Propert,NA,NA,NA
Assam Petrochem,,60.36,  new,0.00%,-%,-,10.00,26.17,0.00,1,-,-,-,NA,NA,NA,Assam Petrochem,NA,NA,NA
Assoc Business,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Assoc Business,NA,NA,NA
Astec Life,,70.70, 47.78 new,0.00%,-%,9.91,10.00,46.58,"1,131.95",1,34.28,58.53,8.20,694.80,350.00,580.00,Astec Life,694.00,348.85,582.50
Atash Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Atash Ind,NA,NA,NA
Atlanta,,55.98, 51.22 new,15.00%,0.29%,10.12,2.00,27.66,835.38,1,9.62,10.13,1.83,120.50,47.80,102.50,Atlanta,120.45,47.10,102.60
AturiaContinent,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AturiaContinent,NA,NA,NA
Aurangabad Dist,,NA, 100 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aurangabad Dist,81.30,35.00,41.85
Ausom Enterp,,34.11,  new,0.00%,-%,4.00,10.00,39.26,37.87,1,6.95,6.95,0.82,38.25,18.00,27.80,Ausom Enterp,37.05,18.00,28.00
Automotive Axle,,248.66, 76.20 new,80.00%,1.10%,32.15,10.00,24.23,"1,101.66",1,12.51,22.67,2.93,803.00,582.00,729.00,Automotive Axle,804.70,551.20,724.55
Avantel,,47.89, 100 new,10.00%,0.42%,2.31,10.00,18.51,96.50,1,36.39,103.03,4.97,324.60,101.00,238.00,Avantel,NA,NA,NA
Avanti Feeds,,126.03, 54.89 new,350.00%,0.43%,43.01,2.00,36.48,"7,452.64",1,36.03,38.15,13.02,1670.00,411.00,1641.00,Avanti Feeds,1668.00,415.00,1635.75
Avon Life,,6.31, 91.71 new,0.00%,-%,-,10.00,17.90,14.14,1,-,-,0.94,12.22,5.13,5.91,Avon Life,NA,NA,NA
Axis Bank,,232.64, 24.65 new,250.00%,0.96%,14.31,2.00,28.75,"124,369.05",1,31.58,36.26,2.23,638.00,424.60,518.85,Axis Bank,638.30,424.40,519.80
Azure Exim Serv,,10.23,  new,0.00%,-%,0.16,10.00,15.59,0.00,1,-,-,-,NA,NA,NA,Azure Exim Serv,NA,NA,NA
B Arunkumar,,78.10,  new,15.00%,-%,18.13,0.00,28.05,0.00,100,-,-,-,NA,NA,NA,B Arunkumar,NA,NA,NA
B C Power Contr,,19.48, 100 new,0.00%,-%,* -,10.00,20.86,49.39,2000,-,-,2.16,81.00,22.05,42.00,B C Power Contr,NA,NA,NA
B and A,,185.21, 94.32 new,30.00%,1.43%,9.13,10.00,32.72,65.10,1,12.35,23.00,1.13,357.65,158.00,210.00,B and A,NA,NA,NA
