,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Spice Mobility,,5.03, 76.49 new,0.00%,-%,-,3.00,21.56,512.69,1,-,-,4.47,33.60,13.00,22.50,Spice Mobility,33.95,12.45,22.15
Spring Fields I,,NA,  new,NA,-%,-,NA,-,2.65,NA,-,-,-,12.49,5.05,5.05,Spring Fields I,NA,NA,NA
Square Four,,5.41,  new,0.00%,-%,0.04,10.00,37.92,0.00,1,-,-,-,NA,NA,NA,Square Four,NA,NA,NA
Sree Rayalaseem,,133.56, 54.53 new,15.00%,1.09%,11.85,10.00,17.90,213.08,1,4.95,11.61,1.03,178.10,87.90,137.55,Sree Rayalaseem,178.00,88.00,137.85
Sri Adhikari,,28.87, 0.53 new,6.00%,0.26%,1.21,10.00,43.78,803.72,1,34.28,190.08,7.97,303.00,226.00,230.00,Sri Adhikari,305.00,221.10,226.85
Sri Amarnath,,56.50,  new,0.00%,-%,0.76,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Sri Amarnath,NA,NA,NA
Sri Ganapathy,,13.47,  new,0.00%,-%,-,10.00,14.36,0.00,1,-,-,-,NA,NA,NA,Sri Ganapathy,NA,NA,NA
Sri Lakshmi Eng,,NA,  new,0.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Sri Lakshmi Eng,NA,NA,NA
Sri Nandaa,,-1.20,  new,0.00%,-%,* -,10.00,14.36,0.00,100,-,-,-,NA,NA,NA,Sri Nandaa,NA,NA,NA
Srico Software,,,,,,,,,,,,,,,,,Srico Software,,,
Sriman Petro,,-2.20,  new,NA,-%,* -,0.00,2.95,0.00,100,-,-,-,NA,NA,NA,Sriman Petro,NA,NA,NA
Srishti Enter,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Srishti Enter,NA,NA,NA
Srishtivid,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Srishtivid,NA,NA,NA
Sriyansh Steel,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sriyansh Steel,NA,NA,NA
Standard Shoe,,-0.03,  new,0.00%,-%,* -,10.00,13.81,0.00,50,-,-,-,NA,NA,NA,Standard Shoe,NA,NA,NA
Stanpacks India,,3.34, 100 new,0.00%,-%,0.60,10.00,23.10,3.68,1,3.62,10.07,1.81,7.78,3.45,6.04,Stanpacks India,NA,NA,NA
Star Cement,,1.38, 61.43 new,100.00%,0.80%,-,1.00,9.11,"2,770.50",1,-,-,90.36,145.00,86.55,124.70,Star Cement,145.00,86.50,125.00
Star Delta Tran,,130.80, 79.13 new,0.00%,-%,-,10.00,17.85,57.84,1,14.44,-,1.47,194.00,81.10,192.80,Star Delta Tran,NA,NA,NA
Star Electronic,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Star Electronic,NA,NA,NA
Star Exim Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Star Exim Ltd,NA,NA,NA
Steel Complex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Steel Complex,NA,NA,NA
Steel Str Wheel,,340.95, 64.92 new,15.00%,0.17%,45.66,10.00,27.79,"1,353.32",1,11.38,19.05,2.55,956.60,481.10,869.95,Steel Str Wheel,958.00,480.00,868.15
Steelage Ind,,NA,  new,0.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Steelage Ind,NA,NA,NA
Stelco Strips,,-32.70,  new,0.00%,-%,-,10.00,19.36,0.00,1,-,-,-,NA,NA,NA,Stelco Strips,NA,NA,NA
Stellar Capital,,18.14,  new,0.00%,-%,* -,10.00,39.26,18.25,6000,-,-,0.40,12.19,5.20,7.31,Stellar Capital,NA,NA,NA
Sterling Basic,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sterling Basic,NA,NA,NA
Sterling H Fin,,6.44,  new,0.00%,-%,-,10.00,27.21,0.00,100,-,-,-,NA,NA,NA,Sterling H Fin,NA,NA,NA
Sterling Power,,1.79,  new,0.00%,-%,0.32,10.00,31.07,3.97,1,10.26,24.38,4.36,8.50,5.09,7.80,Sterling Power,NA,NA,NA
Sterling Spinne,,-26.42,  new,0.00%,-%,-,10.00,13.81,0.00,100,-,-,-,NA,NA,NA,Sterling Spinne,NA,NA,NA
Sterling Tools,,50.32, 83.56 new,150.00%,1.20%,11.35,2.00,24.78,857.29,1,15.82,22.07,4.98,1044.00,170.00,250.50,Sterling Tools,287.90,104.00,248.00
Sterlite Techno,,24.31, 20.61 new,50.00%,0.46%,3.74,2.00,29.67,"8,610.32",1,29.88,57.61,8.86,245.00,73.85,215.45,Sterlite Techno,247.90,73.85,215.10
