,Company Name,MC Link
220,Grandma Trading,http://www.moneycontrol.com/india/stockpricequote/trading/grandmatradingagencies/GTA01
221,Hariyana Metals,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/hariyanametals/HM01
222,Sri Ganapathy,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/sriganapathymillscompany/SGM
223,Oriental Carbon,http://www.moneycontrol.com/india/stockpricequote/chemicals/orientalcarbonchemicals/OCC
224,Titagarh Wagons,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/titagarhwagons/TW04
225,VMV Holidays,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vmvholidays/VH02
226,Unicorp,http://www.moneycontrol.com/india/stockpricequote/computershardware/unicorpindustries/UI02
227,EIL FPO,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindiafpo/EI24
228,Prism Cement,http://www.moneycontrol.com/india/stockpricequote/cementmajor/prismcement/PC
229,Austral Coke,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/australcokeprojects/ACP02
230,Camex,http://www.moneycontrol.com/india/stockpricequote/dyespigments/camex/C96
231,Auromed Ltd,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/auromed/AL09
232,Balmer Invest,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/balmerlawrieinvestment/BLI01
233,Shikhar Leasing,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/shikharleasingtrading/SLT
234,ALLSEC Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allsectechnologies/ALL01
235,Arun Mantex,http://www.moneycontrol.com/india/stockpricequote/packaging/arunmantex/AM05
236,Elder Projects,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/elderprojects/EP01
237,Abhishek Finle,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhishekfinlease/AF32
238,Emtex Ind,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/emtexindustriesindia/EII
239,Shri Mahalaxmi,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/shrimahalaxmiagriculturaldevelopment/SMA01
240,J.Taparia Proj,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/jtapariaprojects/JTP
241,Suryo Food,http://www.moneycontrol.com/india/stockpricequote/aquaculture/suryofoodindustries/SFI
242,Zenlabs Ethica,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/zenlabsethica/NT03
243,TTK Prestige,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/ttkprestige/TTK02
244,SJB Tubes,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/sjbtubes/SJB
245,Indo Am Optics,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/indoamericanoptics/IAO
246,Dhabriya Poly,http://www.moneycontrol.com/india/stockpricequote/plastics/dhabriyapolywood/DP04
247,Sov Gold Tr-V,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/sovereigngoldbonds275sep2024trv/SGB05
248,PNC Infratech,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/pncinfratech/PI26
249,Future Retail,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR
250,FCGL Industries,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/fcglindustries/FCG01
251,Malwa Cotton,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/malwacottonspgmills/MCS01
252,Deccan Cements,http://www.moneycontrol.com/india/stockpricequote/cementmini/deccancements/DC
253,Sov Gold Tr-I,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/sovereigngoldbonds275nov2023tri/SGB03
254,Shruti Synth,http://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/shrutisynthetics/SS41
255,Goiex Michio,http://www.moneycontrol.com/india/stockpricequote/chemicals/goiexmichiosudo/GMS01
256,Evinix,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/evinixaccessories/EA01
257,Anus Labs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/anuslaboratories/AL12
258,Country Condos,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/countrycondos/CC28
259,Noble Bros Impe,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/noblebrothersimpex/NBI
260,Shanti Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/shantipharmacetuciallaboratories/SPL01
261,Sacheta Metals,http://www.moneycontrol.com/india/stockpricequote/aluminium/sachetametals/SM12
